id,user_id,age,occupation,gender
0,19477,31,sales/marketing,M
1,20813,32,college/grad student,M
2,24529,28,executive/managerial,M
3,61139,26,college/grad student,M
4,58490,21,tradesman/craftsman,M
5,54544,28,college/grad student,M
6,14867,30,sales/marketing,M
7,68083,30,college/grad student,M
8,44367,27,self-employed,M
9,14506,44,sales/marketing,M
10,102833,27,self-employed,M
11,96925,29,artist,F
12,91656,26,executive/managerial,M
13,50931,25,academic/educator,F
14,18499,42,executive/managerial,M
15,6387,33,sales/marketing,M
16,32206,27,college/grad student,M
17,70124,28,scientist,F
18,3912,31,homemaker,M
19,8154,26,scientist,M
20,6089,26,college/grad student,M
21,71057,18,artist,F
22,77704,27,college/grad student,F
23,19755,20,scientist,M
24,12040,31,clerical/admin,M
25,89604,34,sales/marketing,M
26,42856,29,self-employed,M
27,2072,18,sales/marketing,M
28,54785,29,other or not specified,M
29,96024,32,sales/marketing,M
30,8915,25,self-employed,M
31,6566,29,scientist,M
32,11866,28,executive/managerial,M
33,84059,25,programmer,M
34,12614,29,retired,F
35,56527,31,other or not specified,M
36,48486,36,lawyer,M
37,12928,18,K-12 student,M
38,58033,29,technician/engineer,M
39,41746,51,academic/educator,F
40,85304,28,homemaker,M
41,103008,34,executive/managerial,M
42,27355,28,scientist,F
43,31389,33,executive/managerial,M
44,86749,29,sales/marketing,M
45,89031,25,sales/marketing,F
46,63418,40,writer,F
47,99396,26,executive/managerial,M
48,18429,31,scientist,M
49,102855,27,college/grad student,M
50,46095,27,sales/marketing,M
51,78585,34,college/grad student,M
52,51067,28,college/grad student,M
53,31128,27,other or not specified,M
54,34479,28,writer,M
55,14912,33,academic/educator,M
56,18442,29,college/grad student,M
57,80484,31,sales/marketing,M
58,36045,25,sales/marketing,M
59,1549,26,college/grad student,M
60,5696,13,K-12 student,M
61,18178,25,executive/managerial,M
62,42315,29,executive/managerial,M
63,76820,26,other or not specified,F
64,655,33,executive/managerial,M
65,43784,31,executive/managerial,M
66,26775,31,college/grad student,M
67,37825,30,sales/marketing,M
68,57659,30,executive/managerial,M
69,49110,19,technician/engineer,M
70,12468,33,sales/marketing,M
71,52972,33,scientist,M
72,30516,29,scientist,M
73,21114,30,college/grad student,F
74,48146,29,other or not specified,M
75,75158,29,sales/marketing,M
76,66924,28,clerical/admin,M
77,44668,26,executive/managerial,M
78,54499,33,K-12 student,M
79,86707,28,executive/managerial,M
80,10647,29,academic/educator,F
81,101875,27,college/grad student,M
82,57455,27,executive/managerial,M
83,54706,29,executive/managerial,M
84,20640,34,executive/managerial,M
85,6986,32,college/grad student,M
86,82902,29,scientist,M
87,36308,35,artist,M
88,88784,30,homemaker,F
89,79543,33,college/grad student,M
90,27840,21,college/grad student,M
91,12971,29,college/grad student,F
92,23949,34,college/grad student,M
93,26530,28,self-employed,M
94,41950,31,sales/marketing,M
95,103216,28,college/grad student,M
96,72873,28,homemaker,F
97,39292,28,self-employed,M
98,73732,31,self-employed,F
99,60954,29,self-employed,M
100,34694,27,self-employed,M
101,98636,43,other or not specified,M
102,42684,30,academic/educator,F
103,74018,26,scientist,M
104,54059,18,sales/marketing,M
105,51091,18,college/grad student,M
106,3616,27,college/grad student,F
107,46420,23,college/grad student,M
108,89966,24,college/grad student,M
109,18504,27,lawyer,M
110,9653,31,college/grad student,M
111,87850,29,other or not specified,M
112,53318,34,executive/managerial,M
113,21050,29,college/grad student,M
114,42363,30,college/grad student,M
115,22717,28,homemaker,M
116,5257,29,self-employed,M
117,48960,32,scientist,M
118,74843,26,executive/managerial,M
119,48986,26,college/grad student,M
120,21961,32,college/grad student,M
121,46162,33,executive/managerial,M
122,58208,25,sales/marketing,M
123,63712,26,executive/managerial,M
124,55390,50,retired,F
125,15217,31,executive/managerial,M
126,22311,59,clerical/admin,F
127,95771,28,sales/marketing,M
128,32945,30,college/grad student,M
129,17505,31,college/grad student,M
130,102759,28,college/grad student,F
131,41837,29,executive/managerial,M
